er,sx,sy,sz,u (sy/sx),v (sz/sx),Pxx_inf,Pyy_inf,Pzz_inf,Nx,Ny,Nz,N_sum
0.5,1.0,1.0,1.0,1.0,1.0,-0.606489843285204,-0.606489843285204,-0.606489843285204,-1.6488322287200226,-1.6488322287200226,-1.6488322287200226,-4.946496686160067
1.25,1.0,1.0,1.0,1.0,1.0,0.2310809694132986,0.2310809694132986,0.2310809694132986,4.327487471335018,4.327487471335018,4.327487471335018,12.982462414005052
1.5,1.0,1.0,1.0,1.0,1.0,0.4305225639347363,0.4305225639347363,0.4305225639347363,2.3227586281670285,2.3227586281670285,2.3227586281670285,6.968275884501086
1.75,1.0,1.0,1.0,1.0,1.0,0.6052549776212672,0.6052549776212673,0.6052549776212673,1.6521962428630217,1.6521962428630215,1.6521962428630215,4.956588728589065
2,1.0,1.0,1.0,1.0,1.0,0.7601151292591647,0.7601151292591648,0.7601151292591648,1.3155901803646977,1.3155901803646974,1.3155901803646974,3.946770541094093
3,1.0,1.0,1.0,1.0,1.0,1.2400638852098393,1.2400638852098391,1.2400638852098391,0.8064100663900743,0.8064100663900744,0.8064100663900744,2.419230199170223
5,1.0,1.0,1.0,1.0,1.0,1.8287125003977094,1.8287125003977094,1.8287125003977094,0.5468328125840007,0.5468328125840007,0.5468328125840007,1.6404984377520022
8,1.0,1.0,1.0,1.0,1.0,2.3095979262997037,2.3095979262997037,2.309597926299704,0.43297579574906303,0.43297579574906303,0.4329757957490629,1.298927387247189
10,1.0,1.0,1.0,1.0,1.0,2.5081379871546243,2.5081379871546243,2.5081379871546243,0.3987021468202622,0.3987021468202622,0.3987021468202622,1.1961064404607866
12.5,1.0,1.0,1.0,1.0,1.0,2.6852861356745623,2.685286135674562,2.685286135674562,0.3723997926011684,0.37239979260116846,0.37239979260116846,1.1171993778035052
15,1.0,1.0,1.0,1.0,1.0,2.8139579574481113,2.8139579574481113,2.8139579574481113,0.35537133643136165,0.35537133643136165,0.35537133643136165,1.0661140092940848
17.5,1.0,1.0,1.0,1.0,1.0,2.9117110888050837,2.911711088805084,2.9117110888050837,0.34344066753215646,0.3434406675321564,0.34344066753215646,1.0303220025964692
20,1.0,1.0,1.0,1.0,1.0,2.9885180340535027,2.9885180340535027,2.9885180340535027,0.3346140088850798,0.3346140088850798,0.3346140088850798,1.0038420266552395
100,1.0,1.0,1.0,1.0,1.0,3.485094682167034,3.485094682167034,3.485094682167034,0.28693625028809816,0.28693625028809816,0.28693625028809816,0.8608087508642945
10000000000.0,1.0,1.0,1.0,1.0,1.0,3.6306089298579125,3.6306089298579134,3.630608929857914,0.27543588949392467,0.27543588949392456,0.27543588949392456,0.8263076684817738
