er,sx,sy,sz,u (sy/sx),v (sz/sx),d,Pxx,Pyy,Pzz,Nx,Ny,Nz,N_sum
0.5,1.0,1.0,1.0,1.0,1.0,0.1,-0.606548228232419,-0.6065482282324174,-0.6065482282324174,-1.648673515895288,-1.6486735158952928,-1.6486735158952928,-4.946020547685874
1.25,1.0,1.0,1.0,1.0,1.0,0.1,0.2310853522598327,0.2310853522598329,0.23108535225983295,4.327405394676849,4.327405394676846,4.327405394676844,12.982216184030538
1.5,1.0,1.0,1.0,1.0,1.0,0.1,0.43054323288945856,0.4305432328894577,0.43054323288945756,2.322647120217887,2.3226471202178915,2.3226471202178924,6.967941360653671
1.75,1.0,1.0,1.0,1.0,1.0,0.1,0.6053042172878063,0.6053042172878037,0.6053042172878043,1.6520618416979016,1.6520618416979085,1.652061841697907,4.956185525093717
2,1.0,1.0,1.0,1.0,1.0,0.1,0.7602041879102085,0.7602041879102075,0.760204187910207,1.315436057711004,1.3154360577110058,1.3154360577110065,3.9463081731330165
3,1.0,1.0,1.0,1.0,1.0,0.1,1.2404158117499908,1.2404158117499906,1.2404158117499913,0.8061812744785881,0.8061812744785882,0.8061812744785878,2.418543823435764
5,1.0,1.0,1.0,1.0,1.0,0.1,1.8301198782369732,1.8301198782369685,1.830119878236969,0.5464122934740971,0.5464122934740986,0.5464122934740985,1.639236880422294
8,1.0,1.0,1.0,1.0,1.0,0.1,2.3139341133214115,2.3139341133214155,2.3139341133214177,0.43216442259222504,0.43216442259222426,0.4321644225922239,1.2964932677766732
10,1.0,1.0,1.0,1.0,1.0,0.1,2.515242495185068,2.5152424951850727,2.5152424951850723,0.39757598001556566,0.3975759800155649,0.39757598001556493,1.1927279400466955
12.5,1.0,1.0,1.0,1.0,1.0,0.1,2.696784140604423,2.6967841406044193,2.696784140604419,0.37081202938840807,0.3708120293884085,0.3708120293884086,1.112436088165225
15,1.0,1.0,1.0,1.0,1.0,0.1,2.8313314349920717,2.8313314362895827,2.8313314348015366,0.35319072420880326,0.35319072404694696,0.3531907242325713,1.0595721724883216
17.5,1.0,1.0,1.0,1.0,1.0,0.1,2.936297781912842,2.9362977383047415,2.9362977502019687,0.3405649134634271,0.3405649185212892,0.3405649171413957,1.021694749126112
20,1.0,1.0,1.0,1.0,1.0,0.1,3.0164428611024556,3.016443006446961,3.0164427454764073,0.3315163077992195,0.33151629182541403,0.3315163205068768,0.9945489201315103
0.5,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,-0.5948954620848217,-0.5948954620848212,-0.631422059817508,-1.680967604788045,-1.6809676047880464,-1.5837267394316528,-4.945661949007745
1.25,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,0.23284110652359113,0.2328411065235903,0.22773894822743906,4.294774298792818,4.2947742987928335,4.390992440174602,12.980541037760254
1.5,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,0.4365913179066899,0.43659131790668815,0.4190765643922034,2.290471566852651,2.2904715668526605,2.3861988117859165,6.967141945491228
1.75,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,0.6172266556192245,0.6172266556192236,0.5829548373938617,1.6201503789507652,1.6201503789507674,1.7153987510774702,4.955699508979003
2,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,0.7789793860652819,0.7789793860652833,0.7254134200747049,1.2837310176474883,1.283731017647486,1.3785242626156786,3.945986297910653
3,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,1.2902019296519625,1.2902019296519616,1.1516452776480655,0.7750724727793225,0.775072472779323,0.8683229284300447,2.41846787398869
5,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,1.937897911036102,1.937897911036105,1.6469013826449421,0.5160230548292131,0.5160230548292123,0.6072008989354231,1.6392470085938484
8,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,2.4851119093547354,2.4851119093547323,2.033701235819451,0.40239636542551205,0.40239636542551255,0.4917143100407589,1.2965070408917834
10,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,2.7166684684068616,2.7166684684068687,2.190444158248149,0.3680979153803154,0.36809791538031444,0.45652841513191994,1.1927242458925498
12.5,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,2.9270473922234737,2.927047392223474,2.3310447427059864,0.34164120562474726,0.3416412056247472,0.42899219464966293,1.1122746058991573
15,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,3.0825083742847066,3.0825083954992287,2.4351496297760375,0.32441112191043087,0.32441111967775993,0.4106523836450948,1.0594746252332856
17.5,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,3.2029164012955604,3.2029168886633075,2.5169238114297965,0.31221545451373817,0.3122154070058733,0.39731039750143526,1.0217412590210468
20,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,3.2972447233473434,3.297242380929424,2.5994817762349256,0.30328352424651267,0.30328373970436495,0.38469206021840024,0.991259324169278
0.5,1.0,1.0,0.5,1.0,0.5,0.05,-0.5772151157286065,-0.5772151157286078,-0.6740160564050521,-1.7324563628894594,-1.7324563628894554,-1.4836441810208847,-4.9485569067998
1.25,1.0,1.0,0.5,1.0,0.5,0.05,0.23555082696078314,0.23555082696078314,0.22260410869332292,4.245368241337102,4.245368241337102,4.492280065583512,12.983016548257716
1.5,1.0,1.0,0.5,1.0,0.5,0.05,0.44620590538692884,0.44620590538693033,0.40207104639977365,2.2411178066611352,2.2411178066611277,2.48712263405735,6.969358247379613
1.75,1.0,1.0,0.5,1.0,0.5,0.05,0.6365422333620124,0.6365422333620172,0.5506265310745104,1.5709876699277594,1.5709876699277476,1.8161129977674118,4.958088337622918
2,1.0,1.0,0.5,1.0,0.5,0.05,0.8098680246029903,0.8098680246029992,0.6761034491956841,1.23476908535834,1.2347690853583264,1.479063597722559,3.9486017684392256
3,1.0,1.0,0.5,1.0,0.5,0.05,1.3759443730076912,1.3759443730076821,1.0327451140300594,0.7267735670258889,0.7267735670258937,0.9682931310105367,2.421840265062319
5,1.0,1.0,0.5,1.0,0.5,0.05,2.1344396618736465,2.13443966187366,1.4155507262372473,0.46850703623178713,0.4685070362317842,0.7064388308133291,1.6434529032769005
8,1.0,1.0,0.5,1.0,0.5,0.05,2.8132133052495774,2.8132133052495814,1.693601251811245,0.3554654025466028,0.3554654025466023,0.590457759127502,1.301388564220707
10,1.0,1.0,0.5,1.0,0.5,0.05,3.111510919798958,3.111510919798962,1.801203109322886,0.3213872699712757,0.32138726997127526,0.5551844735466414,1.1979590134891924
12.5,1.0,1.0,0.5,1.0,0.5,0.05,3.388767905880781,3.3887677788621353,1.89445101011676,0.2950925019871162,0.29509251304784756,0.5278574081144317,1.1180424231493955
15,1.0,1.0,0.5,1.0,0.5,0.05,3.5989720235584666,3.598972011413583,1.9606701816183658,0.27785711960362913,0.27785712054126976,0.5100296874890938,1.0657439276339926
17.5,1.0,1.0,0.5,1.0,0.5,0.05,3.7635864963758254,3.7635862165827167,2.010872204578401,0.26570400360479496,0.26570402335780313,0.49729664457203027,1.0287046715346282
20,1.0,1.0,0.5,1.0,0.5,0.05,3.9104567654088807,3.9104514925205907,2.0498413508077475,0.2557246020070597,0.2557249468284344,0.4878426321168447,0.9992921809523387
0.5,1.0,1.0,0.3,1.0,0.3,0.03,-0.559079799148326,-0.5590797991483254,-0.7261758056100349,-1.7886534293017735,-1.7886534293017753,-1.3770770001899677,-4.954383858793516
1.25,1.0,1.0,0.3,1.0,0.3,0.03,0.23854056536829815,0.23854056536829799,0.21738266336447057,4.192159092337337,4.19215909233734,4.600182850475839,12.984501035150515
1.5,1.0,1.0,0.3,1.0,0.3,0.03,0.4569030866352676,0.4569030866352649,0.38531777157666236,2.1886479414359283,2.188647941435941,2.5952605194101235,6.9725564022819935
1.75,1.0,1.0,0.3,1.0,0.3,0.03,0.6582848807665902,0.6582848807665893,0.5196488974292588,1.5190991457003744,1.5190991457003764,1.924376256636112,4.962574548036863
2,1.0,1.0,0.3,1.0,0.3,0.03,0.8450484348681431,0.8450484348681468,0.629960931110442,1.183364122976022,1.1833641229760166,1.5874000285022187,3.9541282744542574
3,1.0,1.0,0.3,1.0,0.3,0.03,1.4777186168763898,1.4777186168763832,0.9287609867247737,0.6767188208766063,0.6767188208766093,1.0767032792004398,2.4301409209536553
5,1.0,1.0,0.3,1.0,0.3,0.03,2.381744782391472,2.3817447823914755,1.2273782934946529,0.4198602668905255,0.41986026689052486,0.8147447329810192,1.6544652667620696
8,1.0,1.0,0.3,1.0,0.3,0.03,3.248568356287766,3.2485683562877625,1.4314404531539489,0.30782790765798423,0.30782790765798457,0.6985969956323791,1.3142528109483478
10,1.0,1.0,0.3,1.0,0.3,0.03,3.6475621048258198,3.647562104825831,1.5077468297055638,0.2741557158621025,0.2741557158621017,0.6632413216184857,1.2115527533426897
12.5,1.0,1.0,0.3,1.0,0.3,0.03,4.028172166702435,4.0281721667024515,1.5727581234738992,0.24825155395942913,0.24825155395942808,0.6358256778805922,1.1323287857994493
15,1.0,1.0,0.3,1.0,0.3,0.03,4.322196044429033,4.322195971897052,1.6185970375341772,0.23136386913520976,0.2313638730177916,0.6178189980647883,1.0805467402177897
17.5,1.0,1.0,0.3,1.0,0.3,0.03,4.558565832500305,4.558565853919657,1.6530172125434681,0.21936723889572854,0.21936723786498677,0.6049543782192793,1.0436888549799948
20,1.0,1.0,0.3,1.0,0.3,0.03,4.756931850908969,4.7569311928139815,1.6800746657159016,0.21021953463741908,0.2102195637201231,0.595211641724201,1.0156507400817432
0.5,1.0,1.0,0.2,1.0,0.2,0.02,-0.5443613923384026,-0.5443613923384045,-0.7773238378984223,-1.8370149207391793,-1.8370149207391728,-1.2864651143384545,-4.960494955816806
1.25,1.0,1.0,0.2,1.0,0.2,0.02,0.24113850178780585,0.24113850178780774,0.21308766326253828,4.146994331415263,4.14699433141523,4.69290424743141,12.986892910261904
1.5,1.0,1.0,0.2,1.0,0.2,0.02,0.46642126872186707,0.46642126872186734,0.3719769893699869,2.143984563011668,2.1439845630116667,2.688338334297743,6.9763074603210775
1.75,1.0,1.0,0.2,1.0,0.2,0.02,0.6780251311011094,0.6780251311011068,0.49559103744195704,1.4748715853290055,1.474871585329011,2.0177927453280846,4.967535915986101
2,1.0,1.0,0.2,1.0,0.2,0.02,0.8775760761959679,0.8775760761959563,0.5948423753209106,1.1395023487134055,1.1395023487134206,1.68111762290054,3.960122320327366
3,1.0,1.0,0.2,1.0,0.2,0.02,1.577652984831764,1.5776529848317749,0.8537304968883687,0.6338529509432246,0.6338529509432203,1.1713298325932442,2.439035734479689
5,1.0,1.0,0.2,1.0,0.2,0.02,2.645791383642571,2.645791383642574,1.0983768450944764,0.3779587484419344,0.37795874844193394,0.9104343417891201,1.6663518386729885
8,1.0,1.0,0.2,1.0,0.2,0.02,3.751684589133034,3.75168458913306,1.2576125327871797,0.2665469274513525,0.2665469274513506,0.7951574701500098,1.328251325052713
10,1.0,1.0,0.2,1.0,0.2,0.02,4.290050844342648,4.290050844342667,1.315454186874515,0.23309747046907717,0.23309747046907617,0.7601937110223306,1.2263886519604839
12.5,1.0,1.0,0.2,1.0,0.2,0.02,4.822124895113384,4.822124893320794,1.3639091096020768,0.20737745739712674,0.20737745747421782,0.7331866859454821,1.1479416008168266
15,1.0,1.0,0.2,1.0,0.2,0.02,5.246494281796285,5.24650658183955,1.3975144479232977,0.19060346705602846,0.19060302020041994,0.7155561085511474,1.0967625958075957
