er,sx,sy,sz,smin,Pxx_inf,Pyy_inf,Pzz_inf,Nx_inf,Ny_inf,Nz_inf,N_sum_inf
0.7,1.0,1.0,0.2,0.2,-0.31561553561006406,-0.3156155356100641,-0.38015899548249327,-3.1684118402697314,-3.168411840269731,-2.630478331127774,-8.967302011667236
0.7,1.0,0.7,0.2,0.2,-0.3144874337728427,-0.3204860129244845,-0.37492521206752843,-3.1797772903139574,-3.1202609776159815,-2.6671985980497044,-8.967236865979643
0.7,1.0,0.5,0.2,0.2,-0.3132887302816995,-0.32631519634455286,-0.36909762912090394,-3.191943735418861,-3.0645216992717383,-2.709310277559203,-8.965775712249803
0.7,1.0,0.3,0.2,0.2,-0.3113839750654298,-0.33838906575943184,-0.35881115318376977,-3.2114690545326687,-2.955178228811098,-2.786981372030643,-8.95362865537441
0.7,1.0,0.2,0.2,0.2,-0.30993690564146165,-0.3498088039841572,-0.34980880400285586,-3.226463134263884,-2.8587044940278,-2.858704493874991,-8.943872122166674
1.5,1.0,1.0,0.2,0.2,0.4650360368658191,0.4650360368658191,0.3725130191594177,2.150370983590114,2.150370983590114,2.6844699341153713,6.9852119012955995
1.5,1.0,0.7,0.2,0.2,0.467540652907768,0.4552452447845819,0.377815756399837,2.1388514427156573,2.1966182216207253,2.64679273709727,6.982262401433653
1.5,1.0,0.5,0.2,0.2,0.470326764571439,0.44268737469273706,0.38379737476055487,2.126181360125653,2.2589304714056633,2.6055415324919413,6.990653364023258
1.5,1.0,0.3,0.2,0.2,0.4748964122573452,0.4203942838697412,0.39421192194466803,2.105722372688936,2.378719307967206,2.536706640090811,7.021148320746953
1.5,1.0,0.2,0.2,0.2,0.4784567003343884,0.40334626406556345,0.40334626406556345,2.0900532886280208,2.4792593587465364,2.4792593587465364,7.048572006121094
3.0,1.0,1.0,0.2,0.2,1.5621531043119599,1.5621531043119599,0.855978331336188,0.6401421200263488,0.6401421200263488,1.168253872079908,2.4485381121326055
3.0,1.0,0.7,0.2,0.2,1.5918227060213912,1.4601555093942262,0.8858638662407303,0.6282106645528411,0.6848585603151744,1.1288416178928486,2.4419108427608642
3.0,1.0,0.5,0.2,0.2,1.626679452614052,1.3363201173105477,0.9167990265825685,0.6147492663001389,0.748323689096727,1.0907515944116661,2.453824549808532
3.0,1.0,0.3,0.2,0.2,1.6904478896480146,1.1291039204870124,0.9527682587668543,0.5915591992653617,0.8856580708431812,1.0495731682899225,2.526790438398465
3.0,1.0,0.2,0.2,0.2,1.733915428679108,1.0015772078259257,0.9970780188420221,0.5767293972127563,0.998425275841341,1.002930544152775,2.5780852172068722
6.0,1.0,1.0,0.2,0.2,3.0032727874980836,3.0032727874980836,1.1688680292973235,0.3329700865544962,0.3329700865544962,0.8555285754553146,1.521468748564307
6.0,1.0,0.7,0.2,0.2,3.119577686431134,2.6553471154933668,1.227644160322811,0.3205562100118821,0.37659859766175946,0.8145682864137507,1.5117230940873922
6.0,1.0,0.5,0.2,0.2,3.2671283773394455,2.3009289413991985,1.2874295985509132,0.306079187746623,0.4346070763019298,0.7767415019241175,1.5174277659726703
6.0,1.0,0.3,0.2,0.2,3.425351484621067,1.747889936261132,1.3297015415900508,0.29194084300245937,0.5721184035987272,0.7520484625476216,1.616107709148808
6.0,1.0,0.2,0.2,0.2,4.364604364235281,1.9559912629623033,1.9559912629623033,0.22911584110446842,0.5112497274070249,0.5112497274070249,1.2516152959185183
0.7,1.0,1.0,0.3,0.3,-0.31964984598474333,-0.3196498459847433,-0.3685322202588478,-3.12842321859817,-3.1284232185981704,-2.7134669508615152,-8.970313388057857
0.7,1.0,0.7,0.3,0.3,-0.31794052558963426,-0.3258164600763423,-0.36277624751220977,-3.145242331550712,-3.0692126474079586,-2.7565200501897342,-8.970975029148406
0.7,1.0,0.5,0.3,0.3,-0.31617476092109115,-0.33291288244450395,-0.356409520946847,-3.162807799986203,-3.003788837059192,-2.8057611854570363,-8.972357822502431
0.7,1.0,0.3,0.3,0.3,-0.3134272683605496,-0.3457541975146822,-0.3457541975146822,-3.1905328634318266,-2.8922280833843983,-2.8922280833843983,-8.974989030200623
