er,sx,sy,sz,smin,nd,Pxx,Pyy,Pzz,Nx,Ny,Nz,N_sum
0.7,1.0,1.0,0.2,0.2,70,-0.3158609195519594,-0.3158609195519594,-0.37977137406770684,-3.165950385436965,-3.165950385436965,-2.6331631825986888,-8.965063953472619
0.7,1.0,0.7,0.2,0.2,70,-0.3147908325487083,-0.32059253275073946,-0.374378324366462,-3.1767125869056803,-3.1192242421238787,-2.6710948121589038,-8.967031641188463
0.7,1.0,0.5,0.2,0.2,70,-0.3136409857779064,-0.3262755357387087,-0.36811573480571264,-3.1883588094194875,-3.064894208926624,-2.7165369622892888,-8.969789980635401
0.7,1.0,0.3,0.2,0.2,70,-0.3118264389612382,-0.33708998404808227,-0.3568615558003627,-3.2069121634817686,-2.9665669326364816,-2.8022071409659635,-8.975686237084213
0.7,1.0,0.2,0.2,0.2,70,-0.3104788751744095,-0.3472627012098847,-0.34726270120988467,-3.2208310450695126,-2.879664290221605,-2.8796642902216054,-8.980159625512723
0.7,1.0,1.0,0.2,0.2,85,-0.31572483466563095,-0.31572483466563095,-0.379825118367056,-3.1673149850852,-3.1673149850852,-2.632790596628258,-8.967420566798658
0.7,1.0,0.7,0.2,0.2,85,-0.3146223697173692,-0.32053368156868767,-0.3744386533788634,-3.1784135403287364,-3.119796943354012,-2.670664449239387,-8.968874932922136
0.7,1.0,0.5,0.2,0.2,85,-0.313445348150352,-0.32628454127073686,-0.36820517994796315,-3.1903488308281562,-3.064809617107306,-2.7158770556713128,-8.971035503606775
0.7,1.0,0.3,0.2,0.2,85,-0.3115807161892953,-0.33721151206903643,-0.35702462053864625,-3.2094412395934926,-2.9654978083763424,-2.8009272819652913,-8.975866329935126
0.7,1.0,0.2,0.2,0.2,85,-0.31017795268289866,-0.3474812299946968,-0.3474812299946968,-3.223955769101103,-2.87785328725601,-2.87785328725601,-8.979662343613123
0.7,1.0,1.0,0.2,0.2,95,-0.3156522107104626,-0.3156522107104626,-0.37985270467026416,-3.1680437078176116,-3.1680437078176116,-2.6325993936730354,-8.96868680930826
0.7,1.0,0.7,0.2,0.2,95,-0.31453267031163384,-0.3205020540932843,-0.3744701918577164,-3.179319970193291,-3.120104808154968,-2.670439521605393,-8.969864299953652
