er,sx,sy,sz,smin,nd,Pxx,Pyy,Pzz,Nx,Ny,Nz,N_sum
10,1.0,1.0,0.2,0.2,70,4.133290597098021,4.1332905970980205,1.3149108343574833,0.24193798536742103,0.2419379853674211,0.7605078411941437,1.2443838119289858
10,1.0,0.7,0.2,0.2,70,4.36013993789375,3.523064443014055,1.3919894554740577,0.2293504369685596,0.28384380024126926,0.7183962465142659,1.2315904837240947
10,1.0,0.5,0.2,0.2,70,4.683226946737627,3.0485487214712057,1.5026723913873097,0.21352798217404514,0.3280249362448791,0.6654810494500213,1.2070339678689455
10,1.0,0.3,0.2,0.2,70,5.800467171394756,2.652778044269859,1.8612383180271022,0.17239990684397652,0.37696331291645485,0.5372767099809078,1.0866399297413392
10,1.0,0.2,0.2,0.2,70,-13.67593840630102,4.505388084470576,4.505388084470575,-0.0731211248757352,0.22195646218510143,0.22195646218510146,0.37079179949446767
10,1.0,1.0,0.2,0.2,85,4.147072843508848,4.147072843508848,1.3155232074799486,0.24113393657052273,0.24113393657052273,0.760153826488266,1.2424216996293116
10,1.0,0.7,0.2,0.2,85,4.376758711727753,3.52492966689366,1.3921694249685987,0.22847958177827987,0.2836936037028077,0.7183033774948445,1.230476562975932
10,1.0,0.5,0.2,0.2,85,4.695087402941402,3.0390021235035056,1.5007341721864187,0.21298858022824346,0.32905538047046595,0.6663405275453285,1.2083844882440378
10,1.0,0.3,0.2,0.2,85,5.733093065151139,2.610528316999947,1.8407125515033245,0.17442591436000654,0.3830642224747874,0.5432678769877959,1.1007580138225899
10,1.0,0.2,0.2,0.2,85,-21.28863041195553,4.245416985518731,4.245416985518731,-0.04697343044850869,0.2355481224602991,0.2355481224602991,0.42412281447208955
10,1.0,1.0,0.2,0.2,95,4.154535516957398,4.154535516957398,1.3158816829397906,0.2407007945697758,0.2407007945697758,0.7599467436661294,1.241348332805681
10,1.0,0.7,0.2,0.2,95,4.385808957358074,3.5258490401174556,1.3922816158913636,0.2280081074489803,0.2836196299449869,0.7182454961597565,1.229873233553724
10,1.0,0.5,0.2,0.2,95,4.7014675552598755,3.033611472953529,1.4996586965548924,0.21269954290787924,0.3296401035253201,0.6668183916095449,1.2091580380427442
10,1.0,0.3,0.2,0.2,95,5.695959529931726,2.586882401764896,1.829199114568298,0.1755630451278832,0.3865656975043596,0.5466873409437474,1.1088160835759902
