er,sx,sy,sz,u (sy/sx),v (sz/sx),d,Pxx,Pyy,Pzz,Nx,Ny,Nz,N_sum
0.5,1.0,1.0,1.0,1.0,1.0,0.1,-0.606548228232419,-0.6065482282324174,-0.6065482282324174,-1.648673515895288,-1.6486735158952928,-1.6486735158952928,-4.946020547685874
1.25,1.0,1.0,1.0,1.0,1.0,0.1,0.2310853522598327,0.2310853522598329,0.23108535225983295,4.327405394676849,4.327405394676846,4.327405394676844,12.982216184030538
1.5,1.0,1.0,1.0,1.0,1.0,0.1,0.43054323288945856,0.4305432328894577,0.43054323288945756,2.322647120217887,2.3226471202178915,2.3226471202178924,6.967941360653671
1.75,1.0,1.0,1.0,1.0,1.0,0.1,0.6053042172878063,0.6053042172878037,0.6053042172878043,1.6520618416979016,1.6520618416979085,1.652061841697907,4.956185525093717
2,1.0,1.0,1.0,1.0,1.0,0.1,0.7602041879102085,0.7602041879102075,0.760204187910207,1.315436057711004,1.3154360577110058,1.3154360577110065,3.9463081731330165
3,1.0,1.0,1.0,1.0,1.0,0.1,1.2404158117499908,1.2404158117499906,1.2404158117499913,0.8061812744785881,0.8061812744785882,0.8061812744785878,2.418543823435764
5,1.0,1.0,1.0,1.0,1.0,0.1,1.8301198782369732,1.8301198782369685,1.830119878236969,0.5464122934740971,0.5464122934740986,0.5464122934740985,1.639236880422294
8,1.0,1.0,1.0,1.0,1.0,0.1,2.3139341133214115,2.3139341133214155,2.3139341133214177,0.43216442259222504,0.43216442259222426,0.4321644225922239,1.2964932677766732
10,1.0,1.0,1.0,1.0,1.0,0.1,2.515242495185068,2.5152424951850727,2.5152424951850723,0.39757598001556566,0.3975759800155649,0.39757598001556493,1.1927279400466955
12.5,1.0,1.0,1.0,1.0,1.0,0.1,2.696784140604423,2.6967841406044193,2.696784140604419,0.37081202938840807,0.3708120293884085,0.3708120293884086,1.112436088165225
15,1.0,1.0,1.0,1.0,1.0,0.1,2.8313314349920717,2.8313314362895827,2.8313314348015366,0.35319072420880326,0.35319072404694696,0.3531907242325713,1.0595721724883216
17.5,1.0,1.0,1.0,1.0,1.0,0.1,2.936297781912842,2.9362977383047415,2.9362977502019687,0.3405649134634271,0.3405649185212892,0.3405649171413957,1.021694749126112
20,1.0,1.0,1.0,1.0,1.0,0.1,3.0164428611024556,3.016443006446961,3.0164427454764073,0.3315163077992195,0.33151629182541403,0.3315163205068768,0.9945489201315103
0.5,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,-0.8498506601211739,-0.8498506601211733,-0.9020315140250115,-1.1766773233516314,-1.1766773233516323,-1.1086087176021568,-3.4619633643054204
1.25,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,0.3326301521765588,0.3326301521765576,0.32534135461062724,3.0063420091549724,3.006342009154983,3.0736947081222215,9.086378726432176
1.5,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,0.6237018827238427,0.6237018827238402,0.5986808062745763,1.6033300967968558,1.6033300967968624,1.6703391682501416,4.876999361843859
1.75,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,0.8817523651703209,0.8817523651703195,0.8327926248483739,1.1341052652655355,1.1341052652655372,1.200779125754229,3.4689896562853018
2,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,1.1128276943789743,1.112827694378976,1.036304885821007,0.8986117123532417,0.8986117123532402,0.9649669838309749,2.7621904085374567
3,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,1.8431456137885178,1.8431456137885167,1.6452075394972365,0.5425507309455257,0.5425507309455261,0.6078260499010312,1.692927511792083
5,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,2.768425587194432,2.768425587194436,2.352716260921346,0.36121613838044914,0.3612161383804486,0.42504062925479613,1.1474729060156938
8,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,3.550159870506765,3.5501598705067607,2.9052874797420727,0.2816774557978584,0.28167745579785874,0.34420001702853126,0.9075549286242484
10,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,3.8809549548669455,3.8809549548669557,3.129205940354499,0.25766854076622075,0.2576685407662201,0.319569890592344,0.8349069721247848
12.5,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,4.181496274604963,4.181496274604963,3.330063918151409,0.23914884393732305,0.23914884393732305,0.30029453625476404,0.7785922241294101
15,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,4.403583391835295,4.403583422141756,3.4787851853943397,0.22708778533730162,0.22708778377443192,0.2874566685515664,0.7416322376632999
17.5,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,4.575594858993658,4.5755955552332965,3.5956054448997095,0.2185508181596167,0.2185507849041113,0.2781172782510047,0.7152188813147327
20,1.0,1.0,0.7,1.0,0.7,0.06999999999999999,4.7103496047819196,4.710346258470605,3.7135453946213226,0.21229846697255886,0.21229861779305548,0.26928444215288017,0.6938815269184945
0.5,1.0,1.0,0.5,1.0,0.5,0.05,-1.154430231457213,-1.1544302314572157,-1.3480321128101043,-0.8662281814447297,-0.8662281814447277,-0.7418220905104423,-2.4742784533999
1.25,1.0,1.0,0.5,1.0,0.5,0.05,0.4711016539215663,0.4711016539215663,0.44520821738664584,2.122684120668551,2.122684120668551,2.246140032791756,6.491508274128858
1.5,1.0,1.0,0.5,1.0,0.5,0.05,0.8924118107738577,0.8924118107738607,0.8041420927995473,1.1205589033305676,1.1205589033305638,1.243561317028675,3.4846791236898067
1.75,1.0,1.0,0.5,1.0,0.5,0.05,1.2730844667240249,1.2730844667240344,1.1012530621490209,0.7854938349638797,0.7854938349638738,0.9080564988837059,2.479044168811459
2,1.0,1.0,0.5,1.0,0.5,0.05,1.6197360492059807,1.6197360492059985,1.3522068983913682,0.61738454267917,0.6173845426791632,0.7395317988612795,1.9743008842196128
3,1.0,1.0,0.5,1.0,0.5,0.05,2.7518887460153825,2.7518887460153643,2.065490228060119,0.36338678351294446,0.36338678351294684,0.48414656550526836,1.2109201325311596
5,1.0,1.0,0.5,1.0,0.5,0.05,4.268879323747293,4.26887932374732,2.8311014524744946,0.23425351811589357,0.2342535181158921,0.35321941540666457,0.8217264516384503
8,1.0,1.0,0.5,1.0,0.5,0.05,5.626426610499155,5.626426610499163,3.38720250362249,0.1777327012733014,0.17773270127330115,0.295228879563751,0.6506942821103535
10,1.0,1.0,0.5,1.0,0.5,0.05,6.223021839597916,6.223021839597924,3.602406218645772,0.16069363498563785,0.16069363498563763,0.2775922367733207,0.5989795067445962
12.5,1.0,1.0,0.5,1.0,0.5,0.05,6.777535811761562,6.777535557724271,3.78890202023352,0.1475462509935581,0.14754625652392378,0.26392870405721586,0.5590212115746978
15,1.0,1.0,0.5,1.0,0.5,0.05,7.197944047116933,7.197944022827166,3.9213403632367316,0.13892855980181457,0.13892856027063488,0.2550148437445469,0.5328719638169963
17.5,1.0,1.0,0.5,1.0,0.5,0.05,7.527172992751651,7.5271724331654335,4.021744409156802,0.13285200180239748,0.13285201167890157,0.24864832228601513,0.5143523357673141
20,1.0,1.0,0.5,1.0,0.5,0.05,7.820913530817761,7.820902985041181,4.099682701615495,0.12786230100352985,0.1278624734142172,0.24392131605842235,0.49964609047616937
0.5,1.0,1.0,0.3,1.0,0.3,0.03,-1.8635993304944198,-1.863599330494418,-2.4205860187001167,-0.536596028790532,-0.5365960287905326,-0.41312310005699027,-1.4863151576380549
1.25,1.0,1.0,0.3,1.0,0.3,0.03,0.7951352178943272,0.7951352178943266,0.7246088778815686,1.257647727701201,1.257647727701202,1.3800548551427516,3.8953503105451546
1.5,1.0,1.0,0.3,1.0,0.3,0.03,1.5230102887842254,1.5230102887842165,1.284392571922208,0.6565943824307784,0.6565943824307823,0.7785781558230369,2.0917669206845977
1.75,1.0,1.0,0.3,1.0,0.3,0.03,2.194282935888634,2.1942829358886313,1.7321629914308627,0.4557297437101123,0.4557297437101129,0.5773128769908336,1.4887723644110586
2,1.0,1.0,0.3,1.0,0.3,0.03,2.8168281162271436,2.8168281162271565,2.0998697703681404,0.35500923689280656,0.3550092368928049,0.4762200085506656,1.186238482336277
3,1.0,1.0,0.3,1.0,0.3,0.03,4.9257287229213,4.925728722921278,3.095869955749246,0.20301564626298185,0.20301564626298277,0.32301098376013193,0.7290422762860965
5,1.0,1.0,0.3,1.0,0.3,0.03,7.93914927463824,7.939149274638252,4.09126097831551,0.12595808006715764,0.12595808006715745,0.24442341989430577,0.49633958002862083
8,1.0,1.0,0.3,1.0,0.3,0.03,10.828561187625887,10.828561187625876,4.7714681771798295,0.09234837229739526,0.09234837229739536,0.20957909868971375,0.3942758432845044
10,1.0,1.0,0.3,1.0,0.3,0.03,12.1585403494194,12.158540349419436,5.025822765685213,0.08224671475863074,0.0822467147586305,0.1989723964855457,0.36346582600280697
12.5,1.0,1.0,0.3,1.0,0.3,0.03,13.427240555674782,13.427240555674839,5.242527078246331,0.07447546618782874,0.07447546618782842,0.19074770336417762,0.3396986357398348
15,1.0,1.0,0.3,1.0,0.3,0.03,14.407320148096776,14.407319906323508,5.395323458447257,0.06940916074056293,0.06940916190533748,0.18534569941943652,0.3241640220653369
17.5,1.0,1.0,0.3,1.0,0.3,0.03,15.195219441667684,15.195219513065526,5.510057375144894,0.06581017166871855,0.06581017135949603,0.18148631346578378,0.3131066564939984
20,1.0,1.0,0.3,1.0,0.3,0.03,15.856439503029897,15.856437309379938,5.600248885719672,0.06306586039122572,0.06306586911603693,0.17856349251726028,0.3046952220245229
0.5,1.0,1.0,0.2,1.0,0.2,0.02,-2.721806961692013,-2.7218069616920224,-3.8866191894921114,-0.3674029841478359,-0.3674029841478346,-0.2572930228676909,-0.9920989911633613
1.25,1.0,1.0,0.2,1.0,0.2,0.02,1.2056925089390291,1.2056925089390387,1.0654383163126913,0.8293988662830526,0.829398866283046,0.9385808494862822,2.597378582052381
1.5,1.0,1.0,0.2,1.0,0.2,0.02,2.332106343609335,2.3321063436093366,1.8598849468499346,0.42879691260233366,0.4287969126023334,0.5376676668595487,1.3952614920642157
1.75,1.0,1.0,0.2,1.0,0.2,0.02,3.390125655505547,3.390125655505534,2.477955187209785,0.2949743170658011,0.29497431706580224,0.4035585490656169,0.9935071831972202
2,1.0,1.0,0.2,1.0,0.2,0.02,4.387880380979839,4.387880380979781,2.9742118766045524,0.22790046974268116,0.22790046974268416,0.336223524580108,0.7920244640654733
3,1.0,1.0,0.2,1.0,0.2,0.02,7.888264924158819,7.888264924158874,4.268652484441843,0.12677059018864495,0.12677059018864406,0.2342659665186488,0.48780714689593785
5,1.0,1.0,0.2,1.0,0.2,0.02,13.228956918212855,13.22895691821287,5.491884225472382,0.07559174968838688,0.07559174968838679,0.18208686835782403,0.33327036773459773
8,1.0,1.0,0.2,1.0,0.2,0.02,18.758422945665167,18.7584229456653,6.288062663935898,0.053309385490270506,0.05330938549027013,0.15903149403000197,0.2656502650105426
10,1.0,1.0,0.2,1.0,0.2,0.02,21.45025422171324,21.450254221713333,6.577270934372575,0.04661949409381543,0.04661949409381523,0.15203874220446612,0.24527773039209677
12.5,1.0,1.0,0.2,1.0,0.2,0.02,24.11062447556692,24.11062446660397,6.8195455480103835,0.04147549147942535,0.04147549149484356,0.14663733718909644,0.22958832016336533
15,1.0,1.0,0.2,1.0,0.2,0.02,26.232471408981425,26.232532909197747,6.9875722396164885,0.0381206934112057,0.038120604040083994,0.14311122171022947,0.21935251916151915
